130,132,31,115
132,142,32,117
130,134,30,110
131,145,31,113
132,122,27,98
131,125,31,113
131,119,30,112
129,117,30,109
132,144,33,120
132,129,34,125
130,128,33,122
129,115,33,122
128,134,35,130
130,139,34,127
129,137,32,118
129,122,30,110
129,133,30,110
129,126,34,123
127,130,32,119
131,146,28,104
128,141,28,104
131,143,30,110
131,143,32,116
130,144,31,115
128,131,31,112
131,155,30,109
129,145,32,117
131,126,30,111
129,138,29,106
130,130,30,111
129,127,33,120
127,107,30,110
126,114,33,121
129,127,31,112
128,124,29,106
119,111,30,109
119,105,32,118
117,106,28,103
131,143,26,96
127,133,28,102
123,109,26,94
124,105,28,102
125,116,29,107
125,113,31,113
124,110,29,105
124,112,32,118
123,110,29,108
125,116,35,130
129,129,30,109
129,125,31,112
129,110,29,106
129,119,27,97
128,123,30,109
128,128,29,105
130,130,28,103
132,133,25,93
131,129,27,99
127,126,30,110
127,111,29,106
126,109,27,100
130,143,20,73
135,147,20,71
135,147,21,77
131,139,21,78
133,149,21,77
130,139,24,86
132,136,25,93
123,121,27,97
123,109,28,101
126,113,28,102
127,109,28,104
132,127,25,92
123,104,23,86
125,114,26,96
122,109,29,105
131,115,25,93
122,99,30,109
125,107,28,101
125,110,26,96
127,111,28,101
127,107,28,103
124,111,26,95
124,104,29,106
118,102,28,102
119,98,28,103
117,95,30,110
118,97,24,89
117,100,25,92
119,102,26,94
124,111,27,98
127,112,26,95
125,107,27,99
126,107,25,90
125,99,26,95
127,118,24,88
125,115,25,90
126,106,26,93
124,107,27,99
118,95,27,97
117,96,29,105
125,111,25,93
119,96,27,100
116,98,27,98
117,96,25,91
116,95,25,91
119,95,26,95
117,99,25,91
116,99,24,87
117,94,24,87
119,96,24,87
120,93,25,93
116,94,25,91
118,101,25,90
123,99,25,90
127,108,24,86
120,94,24,89
118,96,25,90
118,95,25,93
120,94,25,90
115,94,25,91
122,101,23,86
114,94,24,89
118,97,24,88
118,95,25,93
115,94,24,89
122,103,23,84
120,99,23,85
121,101,24,89
122,105,23,83
122,98,25,91
120,92,22,81
117,93,26,94
121,96,26,94
114,92,25,90
119,97,23,83
116,102,22,82
120,97,21,78
116,89,24,86
112,102,23,83
118,95,24,88
116,94,24,86
116,88,25,90
119,100,23,82
117,92,24,87
116,95,24,89
115,98,23,85
117,90,23,85
117,100,23,83
115,91,23,86
115,100,22,80
117,101,22,81
114,87,20,74
112,93,24,89
117,103,21,77
113,78,23,84
111,91,24,88
112,94,22,82
117,92,23,86
118,95,23,86
116,104,22,82
116,98,23,83
112,97,23,84
113,105,22,78
112,104,23,82
111,98,24,86
114,98,24,86
114,104,21,76
116,114,17,63
117,107,20,73
111,87,21,76
109,105,21,77
114,100,22,82
113,100,22,81
107,71,21,78
112,97,22,79
112,111,18,67
109,110,15,56
103,78,18,67
104,83,19,68
102,81,19,70
103,87,17,63
104,79,19,70
104,80,20,73
105,84,18,67
105,86,19,69
102,83,20,75
104,82,19,69
98,103,18,65
98,81,20,71
102,83,20,74
98,112,20,74
96,129,20,74
104,107,22,79
105,106,22,78
100,116,23,84
94,103,27,99
97,118,27,98
103,118,25,90
99,117,26,95
100,114,29,106
98,111,28,103
99,93,29,107
106,116,27,97
106,122,27,100
109,126,24,88
114,127,22,79
111,145,21,76
110,146,17,62
108,153,15,53
109,145,17,60
109,144,16,57
108,150,16,57
111,151,16,56
111,142,19,69
108,135,19,69
110,134,19,70
109,119,22,78
108,119,19,69
107,110,19,71
102,84,20,74
100,77,22,79
103,91,20,73
102,94,19,71
105,100,17,63
104,97,20,73
102,101,22,79
103,93,20,74
103,99,21,78
102,93,24,87
108,101,25,91
109,105,23,82
103,104,26,96
103,100,27,99
104,106,27,99
112,109,27,100
115,107,29,107
116,131,25,93
116,126,25,90
115,132,26,97
122,168,25,91
123,182,24,88
124,180,22,79
127,183,21,75
128,184,21,77
126,168,24,89
